Show Id,Title,Description,Director,Genres,Cast,Production Country,Release Date,Rating,Duration(min),Imdb Score,Content Type,Date Added,Season Count
88fddfc2-2065-4ed3-9b99-d677845932f4,Oct-01,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",Kunle Afolayan,"Dramas, International Movies, Thrillers","Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,2014,TV-14,149,6.8,Movie,"September 1, 2019",
059c1f94-e510-4dd9-b7f6-9e3992da1a63,Ojos in d' House,"After a newly rich family moves into an upper-class neighborhood, they try to keep their matriarch's obsessive pursuit of social acceptance in check.",,"International TV Shows, TV Comedies","'Najite Dede, Jude Chukwuka, Taiwo Arimoro, Odenike Odetola, Funmi Eko, Keppy Ekpenyong",Nigeria,2013,TV-G,1 Season,,TV Show,,1
b8bf1d7f-671b-42c4-be39-d601366bd8cb,Ojukokoro: Greed,"Down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers.",Dare Olaitan,"Dramas, International Movies, Thrillers","Seun Ajayi, Zainab Balogun, Sammie Eddie, Linda Ejiofor, Charles Etubiebi, Shawn Faqua, Lord Frank, Ikubese Emmanuel Ifeanyi, Somkele Iyamah, Ali Nuhu, Wale Ojo",Nigeria,2016,TV-MA,108,6.9,Movie,"April 9, 2021",
a46c7db6-b64e-4bc1-82d5-06729a108ea6,Okafor's Law,An unapologetic lothario sets out to seduce three ex-flames – but gets an unexpected education in love along the way.,Omoni Oboli,"Comedies, International Movies, Romantic Movies",,Nigeria,2016,TV-14,110,4.9,Movie,"December 13, 2019",
edcc3ed1-c3b2-481b-b6b9-cccec3978bc2,Oloibiri,"After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community.",Curtis Graham,"Dramas, International Movies, Thrillers","Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon","Canada, Nigeria, United States",2015,TV-14,86,5.4,Movie,"April 21, 2021",
1e0dcf0b-ee76-4edd-8181-b458ec39b85c,Òlòtūré,"In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.",Kenneth Gyang,"Dramas, International Movies","Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,2020,TV-MA,107,5.4,Movie,"October 2, 2020",
66f81d3a-4409-453b-b9a8-4f8f5f6f79d0,On the Real,A group of reality stars transitions into their newly achieved fame while dealing with the demands of an obnoxious TV executive and their regular lives.,Tosin Coker,"International TV Shows, TV Dramas","Ini Dima Okojie, Akah Nnani, Nancy Isime, Maurice Sam, David Jones David, Angel Funto Johnson, Pearl Okorie, Tomiwa Tegbe, Peanut Omatsola",Nigeria,2017,TV-MA,1 Season,,TV Show,,1
165a9462-649b-46d6-aa9a-958850d8e36c,Osuofia in London,"A villager in Nigeria becomes the sole beneficiary of his late brother's estate in England, which, according to custom, includes his brother's fiancée.",Kingsley Ogoro,"Comedies, Dramas, International Movies","Nkem Owoh, Mara Derwent, Francis Odega, Cynthia Okereke, Tom Njemanze, Romanus Amuta, Sabina Mole, Blessing Onolleka, Oluchi Agunwa, Chiwendu Onaga, Patricia Ezeani, Stephen Ahanonu",Nigeria,2003,TV-MA,84,7.4,Movie,"June 22, 2021",
52c1333f-3d97-47c3-b4ac-413f65c7c734,Payday,"After an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",Cheta Chukwu,"Comedies, Independent Movies, International Movies","Baaj Adebule, Ebiye Victor, Meg Otanwa, Bisola Aiyeola, Mawuli Gavor, Zack Orji, Segilola Ogidan",Nigeria,2018,TV-MA,110,,Movie,"November 29, 2019",
354f3fac-f0df-451e-a3a1-77595ff4a6aa,Phone Swap,A fashion designer and an arrogant businessman reluctantly try to help each other after accidentally swapping phones in the airport.,Kunle Afolayan,"Comedies, International Movies, Romantic Movies","Wale Ojo, Nse Ikpe-Etim, Lydia Forson, Joke Silva, Chika Okpala, Ada Ameh, Hafeez Oyetoro, Chika Chukwu",Nigeria,2012,TV-14,112,6,Movie,"September 1, 2019",
